,deployment_signal
940,0.913996764
941,0.913107558
942,0.912218351
943,0.911329145
944,0.910439939
945,0.909550733
946,0.908661527
947,0.907772321
948,0.906883115
949,0.905993909
950,0.905104703
951,0.904215497
952,0.90332629
953,0.902437084
954,0.901547878
955,0.900658672
956,0.899769466
957,0.89888026
958,0.897991054
959,0.897101848
960,0.896212642
961,0.895323435
962,0.894434229
963,0.893545023
964,0.892655817
965,0.891766611
966,0.890877405
967,0.889988199
968,0.889098993
969,0.888209787
970,0.887320581
971,0.886431374
972,0.885542168
973,0.884652962
974,0.883763756
975,0.88287455
976,0.871102889
977,0.859331229
978,0.847559568
979,0.835787907
980,0.824016247
981,0.812244586
982,0.800472925
983,0.788701265
984,0.776929604
985,0.765157943
986,0.753386283
987,0.741614622
988,0.729842961
989,0.718071301
990,0.70629964
991,0.694527979
992,0.682756319
993,0.670984658
994,0.659212997
995,0.647441337
996,0.635669676
997,0.623898015
998,0.612126355
999,0.600354694
1000,0.588583033
1001,0.576811373
1002,0.565039712
1003,0.553268051
1004,0.541496391
1005,0.52972473
1006,0.517953069
1007,0.506181409
1008,0.494409748
1009,0.482638087
1010,0.470866427
1011,0.459094766
1012,0.447323105
1013,0.435551445
1014,0.423779784
1015,0.412008123
1016,0.400236463
1017,0.388464802
1018,0.376693141
1019,0.364921481
1020,0.35314982
1021,0.341378159
1022,0.329606499
1023,0.317834838
1024,0.306063177
1025,0.294291517
1026,0.282519856
1027,0.270748195
1028,0.258976535
1029,0.247204874
1030,0.235433213
1031,0.223661553
1032,0.211889892
1033,0.200118231
1034,0.188346571
1035,0.17657491
1036,0.164803249
1037,0.153031589
1038,0.141259928
1039,0.129488267
1040,0.117716607
1041,0.105944946
1042,0.094173285
1043,0.082401625
1044,0.070629964
1045,0.058858303
1046,0.047086643
1047,0.035314982
1048,0.023543321
1049,0.011771661
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,0
