HRS,MIN,WND_MEAN,WND_STD,PWR_MEAN,PWR_STD
5,0,7.592176283,0.903583551,39.64843593,15.11690152
5,5,7.453227239,0.937433096,37.51567201,14.92081195
5,10,7.498633064,0.994936512,38.33069405,15.54948182
5,15,7.403644043,1.033335986,36.9402489,15.48039863
5,20,7.436124866,1.087819057,37.55241694,16.01610764
5,25,7.269925119,1.11010005,35.12348378,15.47290401
5,30,7.009590876,1.112331718,31.52300198,14.31033056
5,35,7.03377521,1.154785231,31.96778324,14.68652369
5,40,6.937460647,1.173301751,30.78312781,14.33408935
5,45,6.860135337,1.190445668,29.884926,14.05286122
5,50,6.822082883,1.210458862,29.4977905,13.97726525
5,55,6.732322267,1.217907767,28.48868054,13.5643724
6,0,6.64208099,1.222455736,27.51652222,13.12816255
6,5,6.679946171,1.24882391,28.02117197,13.46764526
6,10,6.6931254,1.269081405,28.23869944,13.64684696
6,15,6.737147731,1.293167924,28.81219634,14.00661082
6,20,6.88460924,1.334502704,30.66590791,14.99805174
6,25,6.909682288,1.348302132,31.01529521,15.20486933
6,30,6.907482553,1.3514294,30.9991847,15.21107591
6,35,6.826631654,1.332461339,29.97279929,14.68692158
6,40,6.896722125,1.334772468,30.81267715,15.06199469
6,45,6.862643351,1.307180106,30.30999281,14.73158664
6,50,6.900222656,1.28182971,30.67693981,14.77999648
6,55,6.828615401,1.223265932,29.61888398,14.08328579
7,0,6.728316916,1.145761841,28.18704904,13.13700615
7,5,6.78235051,1.078182908,28.5773869,13.01434701
7,10,6.427534207,0.934002383,24.24441206,10.42720917
7,15,6.116868712,0.792539815,21.03121446,8.119010436
7,20,6.159528729,0.689866373,20.94332889,7.686598964
7,25,6.143865604,0.570941488,20.36116491,6.855350907
7,30,6.016817282,0.437622113,18.95995488,5.485533836
7,35,5.909973733,0.306600611,17.83895628,4.301161232
7,40,5.876924339,0.181789775,17.3052451,3.337066442
7,45,5.816354174,0.061538385,16.70756013,1.946114627
7,50,5.525389987,0.046267736,14.63894918,1.660389833
7,55,5.590281308,0.139809856,15.39795631,2.593181692
8,0,5.519920195,0.211520055,15.33459327,2.945749968
8,5,5.314184342,0.252222655,14.63848895,2.834140454
8,10,5.040728949,0.264492452,13.7789844,2.485964117
8,15,5.10110396,0.273934775,14.01587262,2.614343824
8,20,5.065859968,0.261434984,13.83601585,2.508051997
8,25,5.027617177,0.234872212,13.5593939,2.331147019
8,30,4.990335162,0.197608041,13.19824309,2.091122146
