,Wind Speed Ensemble Average,WSPD ENS STD,Wind Direction Ensemble Average,WDIR ENS STD
2019-08-07 13:40:00,6.804486381626461,0.1964734618268973,215.1017282465688,6.228562410501868
2019-08-07 13:45:00,6.3049276622578,0.2571295553223276,215.21939861101632,6.28165316159724
2019-08-07 13:50:00,6.490094572032383,0.3288965618483388,215.33187070598177,6.3350547056594255
2019-08-07 13:55:00,6.313006687671404,0.36595569466553757,215.44067750327488,6.393678607110172
2019-08-07 14:00:00,6.473016025719446,0.40180993185169234,215.54725363037488,6.462285789810547
2019-08-07 14:05:00,6.911212834618404,0.43272736619213115,215.6527773874758,6.544213393579991
2019-08-07 14:10:00,7.113014285622086,0.42622219770250824,215.75792622553593,6.638425018915068
2019-08-07 14:15:00,6.97555363158294,0.38059156735343835,215.86347629743778,6.742883735280776
2019-08-07 14:20:00,6.395767323834411,0.3013337737581385,215.97043232829017,6.855766840523193
2019-08-07 14:25:00,6.918277546018789,0.26405066806210353,216.08000009866336,6.9756018041960735
2019-08-07 14:30:00,6.491840452867927,0.18361281979776223,216.19356541205119,7.101344937054307
2019-08-07 14:35:00,6.784357425364863,0.12210389285081069,216.31268394244404,7.232414738862898
2019-08-07 14:40:00,7.009234068591642,0.05471304984198211,216.4390850740724,7.368697441762228
2019-08-07 14:45:00,7.03228766441296,0.012902620360514483,216.57469206195404,7.510542746634113
2019-08-07 14:50:00,7.1951230378506175,0.0755571590445645,216.721660740572,7.658765709603013
2019-08-07 14:55:00,6.645233810216781,0.11827163869324231,216.88243968096955,7.814668461802325
2019-08-07 15:00:00,6.594935859580474,0.1539722351372257,217.05985623688412,7.980094555766365
2019-08-07 15:05:00,6.693788492206704,0.17992224203439822,217.25627736428646,8.156918426641449
2019-08-07 15:10:00,6.92733868458473,0.19762196737890303,217.4706734822463,8.34507448616763
2019-08-07 15:15:00,7.262820469963743,0.20704255970878638,217.70116601395617,8.543949236242929
2019-08-07 15:20:00,7.0751747976698525,0.19110985553772863,217.94585981412257,8.752863910341684
2019-08-07 15:25:00,6.861618493867012,0.16619841898226984,218.20276739028662,8.971008559187224
2019-08-07 15:30:00,6.497685389993619,0.13197341200260215,218.46973968904348,9.19737656953524
2019-08-07 15:35:00,6.442304163936855,0.09952740068279153,218.74440208841457,9.430698001350189
2019-08-07 15:40:00,6.604148514842002,0.06475751172281585,219.02409537913604,9.669371447830372
2019-08-07 15:45:00,6.914481914224925,0.024566137196891713,219.30582256738916,9.911395487213657
2019-08-07 15:50:00,6.8729441987976925,0.02152265779935636,219.58620334342316,10.154302325174372
2019-08-07 15:55:00,7.106086960436402,0.07150718450282012,219.86143904573225,10.395097973145667
2019-08-07 16:00:00,6.955108813717356,0.11857159164894826,220.12729187828154,10.63021524103466
2019-08-07 16:05:00,6.565431047441586,0.15707120111417883,220.37894079672628,10.855380858096678
2019-08-07 16:10:00,6.619480267479438,0.2030536229506481,220.6106487358022,11.065421109044761
2019-08-07 16:15:00,6.6738163108200546,0.24911554318703333,220.8163417521286,11.25481140052644
2019-08-07 16:20:00,6.684822408179285,0.2935246515003609,220.98978506583367,11.417814657646897
2019-08-07 16:25:00,6.477177709807194,0.32678491722471215,221.12459811670504,11.548473867795769
2019-08-07 16:30:00,6.4905592785171535,0.369882487529964,221.21427022616513,11.640596474927307
2019-08-07 16:35:00,6.564052753953327,0.41714562322587545,221.2521770055276,11.687729875364235
2019-08-07 16:40:00,6.485041014637222,0.4550554410329206,221.23159792028977,11.683127870884226
2019-08-07 16:45:00,6.26111821270601,0.48133091147518225,221.14573575896392,11.619708788144866
2019-08-07 16:50:00,6.478275289052341,0.5421766383983768,220.98773916186062,11.490007172212271
2019-08-07 16:55:00,6.722670758713338,0.6092808273869457,220.75072983492447,11.286122654568912
2019-08-07 17:00:00,7.278581627243883,0.7110971439975802,220.4278365946826,10.999671996066976
2019-08-07 17:05:00,6.838660546537674,0.7171719007814552,220.01468581170343,10.62404714445929
2019-08-07 17:10:00,6.117402599021427,0.6856392213236857,219.516882102724,10.161609565102797
2019-08-07 17:15:00,5.713146243041255,0.6812290759173893,218.94283981813945,9.617448947570601
2019-08-07 17:20:00,5.671037315567687,0.7159815533877634,218.30133505959424,8.99730912626231
